str,replace,type,prefix,suffix
East Access Lane,East Access,Ln,,
North Access Lane,North Access,Ln,,
North Hampton Court,North Hampton,Ct,,
North Point Road,North Point,Rd,,
North Shore Road,North Shore,Rd,,
North Shore Place,North Shore,Pl,,
North Shore Circle,North Shore,Cir,,
South End Road,South End,Rd,,
South Shore Road,South Shore,Rd,,
South Shore Boulevard,South Shore,Blvd,,
South View Road,South View,Rd,,
West A Street,West A,St,,
West Bay Road,West Bay,Rd,,
West Bluff Court,West Bluff,Ct,,
West Bluff Drive,West Bluff,Dr,,
West Pond Drive,West Pond,Dr,,
West Sunset Drive,West Sunset,Dr,,
Willamette River,,,,
Columbia River,,,,
Sandy River,,,,
Wilson River,,,,
Nehalem River,,,,
Rogue River,,,,
Clackamas River,,,,
Salmon River,,,,
Hood River,,,,
McKenzie River,,,,
Cowlitz River,,,,
